Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
brother,US,Smart TV,0,no,Non-Stop,play,title_results,2023-09-15 14:37:37
brother,US,Smart TV,0,no,Non-Stop,select,title_results,2023-09-15 14:37:35
brother,US,Smart TV,0,,Fast & Furious,play,prequery_results,2023-08-17 03:35:52
brother,US,Smart TV,0,,Fast & Furious,play,prequery_results,2023-08-17 01:57:57
brother,US,Smart TV,0,,Fast & Furious,select,prequery_results,2023-08-17 01:57:54
brother,US,Smart TV,0,,2 Fast 2 Furious,play,prequery_results,2023-08-17 00:16:44
brother,US,Smart TV,0,,2 Fast 2 Furious,select,prequery_results,2023-08-17 00:16:42
brother,US,Smart TV,0,,Fast & Furious,play,prequery_results,2023-08-17 00:16:28
brother,US,Smart TV,0,,Fast & Furious,select,prequery_results,2023-08-17 00:16:26
brother,US,Smart TV,0,,2 Fast 2 Furious,play,prequery_results,2023-08-17 00:16:10
brother,US,Smart TV,0,,2 Fast 2 Furious,select,prequery_results,2023-08-17 00:16:08
brother,US,Smart TV,0,,Puss in Boots: The Last Wish,play,suggestion_results,2023-08-14 02:41:00
brother,US,Smart TV,0,,Puss in Boots: The Last Wish,select,suggestion_results,2023-08-14 02:40:57
brother,US,Smart TV,0,,,select,suggestion_results,2023-08-14 02:40:43
brother,US,Smart TV,0,kev,Me Time,play,title_results,2023-08-14 02:38:03
brother,US,Smart TV,0,kev,Me Time,select,title_results,2023-08-14 02:38:01
brother,US,Smart TV,0,mon,Monty Python and the Holy Grail,play,title_results,2023-08-14 01:51:13
brother,US,Smart TV,0,mon,Monty Python and the Holy Grail,select,title_results,2023-08-14 01:51:11
brother,US,Smart TV,0,ke,,select,suggestion_results,2023-08-14 01:48:45
brother,US,Smart TV,0,ke,,select,suggestion_results,2023-08-14 01:47:59
brother,US,Smart TV,0,man,The Man from Toronto,select,title_results,2023-08-14 01:45:18
brother,US,Smart TV,0,man,A Man Called Otto,play,title_results,2023-08-10 02:15:34
brother,US,Smart TV,0,man,A Man Called Otto,select,title_results,2023-08-10 02:15:32
brother,US,Smart TV,0,,,play,prequery_results,2023-08-06 19:14:38
brother,US,Smart TV,0,,,select,prequery_results,2023-08-06 19:14:09
brother,US,Smart TV,0,gl,Glass Onion: A Knives Out Mystery,play,title_results,2023-08-05 02:10:28
brother,US,Smart TV,0,gl,Glass Onion: A Knives Out Mystery,select,title_results,2023-08-05 02:10:25
brother,US,Smart TV,0,whi,White Noise,select,title_results,2023-08-05 02:05:41
brother,US,Smart TV,0,m,Murder Mystery 2,play,title_results,2023-07-22 00:31:54
brother,US,Smart TV,0,m,Murder Mystery 2,select,title_results,2023-07-22 00:31:51
brother,US,Smart TV,0,m,Murder Mystery,play,title_results,2023-07-22 00:31:47
brother,US,Smart TV,0,m,Murder Mystery,select,title_results,2023-07-22 00:31:44
brother,US,Smart TV,0,ind,,play,title_results,2023-07-19 01:55:20
brother,US,Smart TV,0,ind,,select,title_results,2023-07-19 01:55:17
brother,US,Smart TV,0,p,,play,title_results,2023-07-04 04:27:59
brother,US,Smart TV,0,p,,select,title_results,2023-07-04 04:27:56
brother,US,Smart TV,0,da,,play,title_results,2023-07-04 02:43:44
brother,US,Smart TV,0,da,,select,title_results,2023-07-04 02:43:41
brother,US,Smart TV,0,man ,The Man from Toronto,play,title_results,2023-06-18 04:08:28
brother,US,Smart TV,0,man ,The Man from Toronto,select,title_results,2023-06-18 04:08:25
brother,US,Smart TV,0,j,,play,title_results,2023-05-20 17:40:02
brother,US,Smart TV,0,j,,select,title_results,2023-05-20 17:39:59
brother,US,Smart TV,0,,,play,prequery_results,2023-05-13 05:51:41
brother,US,Smart TV,0,,,play,prequery_results,2023-05-12 23:30:48
brother,US,Smart TV,0,,,select,prequery_results,2023-05-12 23:30:46
brother,US,Smart TV,0,de,,play,title_results,2023-04-11 02:33:58
brother,US,Smart TV,0,de,,select,title_results,2023-04-11 02:33:55
brother,US,Smart TV,0,,The Bourne Supremacy,play,prequery_results,2023-04-07 16:32:10
brother,US,Smart TV,0,,The Bourne Supremacy,select,prequery_results,2023-04-07 16:32:08
brother,US,Smart TV,0,,The Bourne Ultimatum,play,prequery_results,2023-04-07 16:32:05
brother,US,Smart TV,0,,The Bourne Ultimatum,select,prequery_results,2023-04-07 16:32:02
brother,US,Smart TV,0,,The Bourne Identity,play,prequery_results,2023-04-07 16:31:58
brother,US,Smart TV,0,,The Bourne Identity,select,prequery_results,2023-04-07 16:31:56
brother,US,Smart TV,0,,The Bourne Supremacy,play,prequery_results,2023-04-07 16:31:53
brother,US,Smart TV,0,,The Bourne Supremacy,select,prequery_results,2023-04-07 16:31:50
brother,US,Smart TV,0,,The Bourne Identity,play,prequery_results,2023-04-05 00:32:15
brother,US,Smart TV,0,,The Bourne Identity,select,prequery_results,2023-04-05 00:32:12
brother,US,Smart TV,0,nak,Naked,play,title_results,2023-03-20 02:20:25
brother,US,Smart TV,0,nak,Naked,select,title_results,2023-03-20 02:20:22
brother,US,Smart TV,0,g,Glass Onion: A Knives Out Mystery,play,title_results,2023-03-20 02:18:46
brother,US,Smart TV,0,g,Glass Onion: A Knives Out Mystery,select,title_results,2023-03-20 02:18:44
brother,US,Smart TV,0,ha,The Hangover: Part II,play,title_results,2023-03-16 03:23:34
brother,US,Smart TV,0,ha,The Hangover: Part II,play,title_results,2023-03-16 01:31:04
brother,US,Smart TV,0,ha,The Hangover: Part II,select,title_results,2023-03-16 01:31:00
brother,US,Smart TV,0,rr,RRR (Hindi),play,title_results,2023-01-30 22:01:11
brother,US,Smart TV,0,rr,RRR (Hindi),play,title_results,2023-01-30 22:01:11
brother,US,Smart TV,0,rr,RRR (Hindi),select,title_results,2023-01-30 22:01:09
brother,US,Smart TV,0,rr,RRR (Hindi),select,title_results,2023-01-30 22:01:09
brother,US,Smart TV,0,ha,,play,title_results,2023-01-09 03:10:09
brother,US,Smart TV,0,ha,,play,title_results,2023-01-09 03:10:09
brother,US,Smart TV,0,ha,,select,title_results,2023-01-09 03:10:07
brother,US,Smart TV,0,ha,,select,title_results,2023-01-09 03:10:07
brother,US,Smart TV,0,h,,play,title_results,2023-01-09 03:07:25
brother,US,Smart TV,0,h,,play,title_results,2023-01-09 03:07:25
brother,US,Smart TV,0,h,,select,title_results,2023-01-09 03:07:23
brother,US,Smart TV,0,h,,select,title_results,2023-01-09 03:07:23
brother,US,Smart TV,0,,,play,prequery_results,2023-01-03 03:59:11
brother,US,Smart TV,0,,,play,prequery_results,2023-01-03 03:58:50
brother,US,Smart TV,0,,,select,prequery_results,2023-01-03 03:58:48
brother,US,Smart TV,0,,Troll,play,prequery_results,2023-01-03 03:55:48
brother,US,Smart TV,0,,Troll,select,prequery_results,2023-01-03 03:55:46
brother,US,Smart TV,0,,,play,prequery_results,2023-01-03 03:54:41
brother,US,Smart TV,0,,,select,prequery_results,2023-01-03 03:54:39
brother,US,Smart TV,0,pi,Pineapple Express,play,title_results,2023-01-03 02:59:00
brother,US,Smart TV,0,pi,Pineapple Express,play,title_results,2023-01-03 02:59:00
brother,US,Smart TV,0,pi,Pineapple Express,select,title_results,2023-01-03 02:58:58
brother,US,Smart TV,0,pi,Pineapple Express,select,title_results,2023-01-03 02:58:58
brother,SA,Xbox One,0,r,,play,title_results,2022-12-28 22:48:31
brother,SA,Xbox One,0,r,,play,title_results,2022-12-28 22:48:31
brother,SA,Xbox One,0,r,,play,title_results,2022-12-28 22:28:49
brother,SA,Xbox One,0,r,,play,title_results,2022-12-28 22:28:49
brother,SA,Xbox One,0,r,,select,title_results,2022-12-28 22:28:02
brother,SA,Xbox One,0,r,,select,title_results,2022-12-28 22:28:02
brother,SA,Xbox One,0,u,,select,title_results,2022-12-22 19:23:17
brother,SA,Xbox One,0,u,,select,title_results,2022-12-22 19:23:17
