Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
brother,2023-10-19 03:12:33,00:04:26,Autoplayed: user action: User_Interaction; ,Suits: Season 8: Right-Hand Man (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:04:26,00:04:26,US (United States)
brother,2023-10-19 03:11:26,00:00:47,Autoplayed: user action: None; ,Mission: Impossible - Ghost Protocol_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:47,00:00:47,US (United States)
brother,2023-10-19 03:11:16,00:00:07,Autoplayed: user action: None; ,Long Shot_hook_02_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,00:00:07,US (United States)
brother,2023-10-19 03:11:00,00:00:02,Autoplayed: user action: None; ,Lupin: Part 3: Chapter 1 (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:02,00:00:02,US (United States)
brother,2023-10-19 03:09:12,00:01:23,Autoplayed: user action: None; ,Part 3 Trailer: Lupin,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:23,00:01:23,US (United States)
brother,2023-10-19 02:29:57,00:37:43,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Good-Bye (Episode 16),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:55:34,00:55:34,US (United States)
brother,2023-10-18 01:28:59,00:18:00,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Good-Bye (Episode 16),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:19:09,Not latest view,US (United States)
brother,2023-10-18 00:50:33,00:38:10,,Suits: Season 7: Tiny Violin (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:41,00:42:41,US (United States)
brother,2023-10-16 03:55:46,00:13:10,,Suits: Season 7: Tiny Violin (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:14:05,Not latest view,US (United States)
brother,2023-10-16 03:55:17,00:00:06,Autoplayed: user action: None; ,Suits: Season 7: Tiny Violin (Episode 15),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:05,Not latest view,US (United States)
brother,2023-10-16 03:39:38,00:15:36,,Suits: Season 7: Pulling the Goalie (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:05,00:44:05,US (United States)
brother,2023-10-15 07:55:19,00:05:46,,Suits: Season 7: Pulling the Goalie (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:28:30,Not latest view,US (United States)
brother,2023-10-15 00:26:53,00:21:22,Autoplayed: user action: User_Interaction; ,Suits: Season 7: Pulling the Goalie (Episode 14),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:22:46,Not latest view,US (United States)
brother,2023-10-14 23:43:30,00:42:19,,Suits: Season 7: Inevitable (Episode 13),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:04,00:44:04,US (United States)
